Country,Country Code,Exporter Degree,Importer Degree,Eigenvector Centrality In,Eigenvector Centrality Out,Closeness Centrality,Degree Centrality
China,156,495702,147070,0.0070623312976416264,0.006688177464802998,0.9336099585062241,642772
Germany,276,408040,191620,0.0071744341747524785,0.006766903757991244,0.9533898305084746,599660
Puerto Rico and US Virgin Islands,842,380344,187982,0.0071467243528644895,0.0067995326596715765,0.9698275862068966,568326
Monaco,251,344174,186884,0.007195517957144257,0.006908729046528734,1.0,531058
Netherlands,528,315298,203204,0.007197387032298923,0.006788854056550318,0.9615384615384616,518502
Italy,380,345539,153062,0.007182375731883642,0.006655242258346145,0.9146341463414634,498601
United Kingdom,826,318027,158870,0.007200760604505041,0.006841666881509284,0.974025974025974,476897
Spain,724,307728,152544,0.0071860278135229124,0.006872465862164124,0.9868421052631579,460272
India,699,289986,110313,0.007119645522740886,0.006708502663271859,0.9336099585062241,400299
Belgium,56,270049,128515,0.007179189360899816,0.006775946484083572,0.9615384615384616,398564
Turkey,792,253878,106963,0.007097573259058824,0.006748309799389422,0.9453781512605042,360841
Liechtenstein,757,195452,148415,0.00717248912533056,0.00651354507820854,0.8928571428571429,343867
Poland,616,208225,132274,0.0071498773489199864,0.006895520561760767,0.995575221238938,340499
Austria,40,202928,134715,0.007114083520652397,0.006799641430687134,0.9574468085106383,337643
Republic of Korea,410,193846,119839,0.007151123024051699,0.006856543385736765,0.9782608695652174,313685
Canada,124,157322,154792,0.007094767702212677,0.006773162023281235,0.9615384615384616,312114
Japan,392,196972,104374,0.007064307057764911,0.006692841983724825,0.9336099585062241,301346
Czechia,203,174816,125653,0.007065579480462587,0.006899584279524381,0.995575221238938,300469
Thailand,764,175658,115845,0.007180663821257177,0.00689321214585631,0.9911894273127754,291503
Denmark,208,175770,114532,0.007132595332503643,0.006527794755705272,0.896414342629482,290302
Sweden,752,168985,116505,0.007182625031631899,0.006823993823492533,0.9698275862068966,285490
not elsewhere specified,490,187632,91787,0.007079876309221055,0.006771638483257535,0.9493670886075949,279419
South Africa,710,143140,123644,0.007126046663053508,0.006866275026581007,0.9782608695652174,266784
Russian Federation,643,114344,128323,0.006794321714205414,0.006753741680046849,0.9453781512605042,242667
 Hong Kong SAR,344,142081,96152,0.006719737124230494,0.006360076543637096,0.8620689655172413,238233
Australia,36,123453,114735,0.00699856391336436,0.006739781738775101,0.9574468085106383,238188
Portugal,620,142416,88001,0.006997273152184231,0.006182504442161824,0.8333333333333334,230417
Hungary,348,121979,99348,0.006957979949591175,0.0059597236926011606,0.8035714285714286,221327
Malaysia,458,120422,93316,0.007106274681951485,0.006454121752463891,0.8823529411764706,213738
Finland,246,110136,102586,0.007031238056838239,0.006629230949324143,0.9146341463414634,212722
Indonesia,360,117781,91519,0.00705759682312896,0.0068077362665214265,0.9656652360515021,209300
Brazil,76,119992,86674,0.007066090508350791,0.006657677416601353,0.9336099585062241,206666
Romania,642,102863,102683,0.006781323772386205,0.006002570536322388,0.8064516129032258,205546
Slovenia,705,96899,96933,0.006808847998549631,0.006790688129802832,0.9615384615384616,193832
Svalbard and Jan Mayen,579,78769,112168,0.0069934368677210795,0.00650835136377908,0.8928571428571429,190937
Slovakia,703,88443,95564,0.006781356464019281,0.0068229883354204756,0.9782608695652174,184007
Greece,300,93006,87725,0.007046587478806951,0.006182775085357714,0.8395522388059702,180731
Lithuania,440,88260,84519,0.006801623288279682,0.005754632822993531,0.7731958762886598,172779
Bulgaria,100,87689,83258,0.006915569539543158,0.005859045314645037,0.7867132867132867,170947
Ireland,372,80276,88278,0.006943926057083898,0.006812038556465147,0.9698275862068966,168554
New Zealand,554,71203,92327,0.007025935561381927,0.006784868823982378,0.9615384615384616,163530
Singapore,702,82429,79708,0.00451321552976046,0.004349066320662054,0.6428571428571429,162137
United Arab Emirates,784,71096,90081,0.0044715869942631385,0.004309409692992012,0.6410256410256411,161177
Mexico,484,90399,66531,0.00451653788110327,0.004349066320662054,0.6428571428571429,156930
Israel,376,71099,80282,0.006393308235101146,0.005700419065408281,0.78125,151381
Serbia,688,56876,89499,0.00630962717888516,0.006521520976180322,0.907258064516129,146375
Viet Nam,704,81665,62140,0.004522940180093169,0.004349066320662054,0.6428571428571429,143805
Estonia,233,58518,85264,0.006534162450530822,0.006017296968391121,0.8093525179856115,143782
Croatia,191,63503,78613,0.006510296468653617,0.0056936902499973435,0.7731958762886598,142116
Latvia,428,61106,72967,0.006808794651298755,0.005516478912991374,0.75,134073
Chile,152,38778,87239,0.006645455871488539,0.006215536963796567,0.8490566037735849,126017
Colombia,170,47008,73885,0.006643175320132512,0.006447013528705341,0.8823529411764706,120893
Pakistan,586,55714,65145,0.006874220987733074,0.006655597874062161,0.9183673469387755,120859
Morocco,504,46766,70098,0.006524246093446822,0.0063404190926183565,0.8522727272727273,116864
Peru,604,40598,70819,0.00645800235949644,0.006430170020682959,0.8754863813229572,111417
Ukraine,804,45136,62453,0.004416091656205726,0.004321799692993852,0.635593220338983,107589
Sri Lanka,144,44863,62494,0.006771341078190372,0.006360685729410717,0.8687258687258688,107357
Luxembourg,442,41872,64435,0.004746495042746773,0.0064985076151453615,0.8928571428571429,106307
Panama,591,46860,58714,0.005392417456947413,0.004898050303387857,0.6859756097560976,105574
Lebanon,422,35188,68849,0.006426803924086674,0.006476649052186797,0.896414342629482,104037
Belarus,112,34503,67820,0.006309970459113838,0.006227377706714892,0.8458646616541353,102323
Costa Rica,188,29005,69489,0.006178646765887488,0.006403506092046926,0.8893280632411067,98494
Bosnia Herzegovina,70,27463,69996,0.005873137460048025,0.0064551134092819176,0.8858267716535433,97459
Kuwait,414,15533,80454,0.006019159608989387,0.006229149074187958,0.87890625,95987
Philippines,608,45381,50497,0.0044562453018356825,0.004316186786497974,0.6373937677053825,95878
Kazakhstan,398,20862,70212,0.005560254209641681,0.005852447901137119,0.8035714285714286,91074
Saudi Arabia,682,22830,62605,0.004425091611631421,0.004233415802100217,0.6392045454545454,85435
Dominican Republic,214,24178,61128,0.00593771163605222,0.006381516863189392,0.87890625,85306
Bahrain,48,14682,69701,0.005970463606673111,0.006478150502712246,0.9,84383
The Former Yugoslav Republic of Macedonia,807,21793,60911,0.0049290603543967965,0.005999038784008021,0.8152173913043478,82704
Egypt,818,34686,47733,0.004324429078145486,0.004316301631520584,0.6320224719101124,82419
Cyprus,196,21950,59577,0.006561716846620346,0.005917645441282759,0.78125,81527
Guatemala,320,27308,53961,0.005888211381978682,0.0053313204720462784,0.7328990228013029,81269
Iran,364,29192,51279,0.0057691646660407905,0.005019001207298114,0.6901840490797546,80471
Iceland,352,14001,65606,0.005765567410111624,0.005480753630064783,0.7450331125827815,79607
Argentina,32,33143,44852,0.004307400253807493,0.0042889201588297695,0.6284916201117319,77995
Ecuador,218,19067,57279,0.006232056858513597,0.006287507685765562,0.8687258687258688,76346
Georgia,268,16125,56542,0.0054181292921814325,0.005086606576637551,0.7053291536050157,72667
Oman,512,17517,54583,0.005914848600392205,0.005481882917883959,0.7401315789473685,72100
Mauritius,480,17850,52302,0.006090419552850307,0.00617857889880351,0.8364312267657993,70152
Malta,470,19002,50027,0.006241016253604523,0.005596675546069876,0.7450331125827815,69029
Jordan,400,18264,50197,0.006024049923399282,0.005510423203371743,0.75,68461
El Salvador,222,18007,50150,0.005452319440975249,0.005937444270596474,0.8152173913043478,68157
United Republic of Tanzania,834,12472,53336,0.005922353624388201,0.006154873721160533,0.8211678832116789,65808
Honduras,340,16127,49183,0.005450823575582581,0.006195421653026952,0.8490566037735849,65310
Uruguay,858,13048,50974,0.006044402895006431,0.005700816815909085,0.7627118644067796,64022
Algeria,12,5937,57924,0.005530611791174587,0.005972108811988459,0.8093525179856115,63861
Tunisia,788,26259,34673,0.004133321782995026,0.004184004824549546,0.6164383561643836,60932
Plurinational State of Bolivia,68,7267,51674,0.004997224859394061,0.00626166570813913,0.8653846153846154,58941
Nicaragua,558,10500,47919,0.005282280389804304,0.0061314800356515285,0.8272058823529411,58419
Bangladesh,50,26508,31700,0.004224347086984429,0.004316186786497974,0.6267409470752089,58208
Myanmar,104,17541,40617,0.00567013322915157,0.006188827843167539,0.8458646616541353,58158
Qatar,634,9247,48483,0.00420428502258526,0.004247695561513257,0.6267409470752089,57730
Montenegro,499,6215,49226,0.004380935141179181,0.005584231460929918,0.8152173913043478,55441
Cambodia,116,21501,31247,0.005575150030117043,0.005554640457207126,0.7211538461538461,52748
Armenia,51,7468,43701,0.005075621427155561,0.0057904250905878325,0.7839721254355401,51169
Paraguay,600,6283,40302,0.005583346589835337,0.005315301916186416,0.7352941176470589,46585
Madagascar,450,10748,35694,0.005916596155465134,0.005893074409746064,0.78125,46442
Namibia,516,15021,30180,0.0060587577371227636,0.0059271225856444695,0.800711743772242,45201
Nigeria,566,7669,36642,0.004282641619227729,0.004148044801307718,0.6320224719101124,44311
Maldives,462,1492,41086,0.00428949447348157,0.003919425663282993,0.677710843373494,42578
Kenya,404,10101,31345,0.004212456139604318,0.0042578003230781146,0.625,41446
Zambia,894,6257,34903,0.0050217701964706055,0.005617824567110138,0.8122743682310469,41160
Mongolia,496,5079,35787,0.004525261249272112,0.005334158316261404,0.7679180887372014,40866
Fiji,242,11422,28904,0.005204287280432103,0.004814545495464456,0.7550335570469798,40326
Brunei Darussalam,96,7188,32876,0.004507480472448048,0.005610705256410568,0.7758620689655172,40064
Albania,8,10950,28443,0.004076000345430054,0.004489811167732071,0.6428571428571429,39393
Republic of Moldova,498,9838,29413,0.0034543577875778843,0.003977306524752707,0.5936675461741425,39251
Ghana,288,6154,32751,0.004211896827388009,0.0040486649848696125,0.6232686980609419,38905
Kyrgyzstan,417,6257,29977,0.004427609133998817,0.004807987729444555,0.6987577639751553,36234
Sudan,729,2160,33910,0.005023409380269934,0.005766693119643997,0.8241758241758241,36070
Azerbaijan,31,4117,29614,0.0037464967549709722,0.0036110020118784282,0.6032171581769437,33731
Iraq,368,2497,31088,0.003898257018001698,0.003346285083584046,0.6147540983606558,33585
Macao Special Administrative Region,446,6300,26663,0.004497627428875962,0.005078643855145942,0.7120253164556962,32963
Angola,24,2800,29200,0.003900014919731771,0.0031506408260391656,0.6130790190735694,32000
Côte d'Ivoire,384,4722,25959,0.004069755739195606,0.004043722203308864,0.6198347107438017,30681
Burkina Faso,854,2695,27329,0.005057500656936607,0.005162016218008836,0.7679180887372014,30024
Venezuela,862,8548,21170,0.0039555247987341354,0.00408066713713026,0.6147540983606558,29718
Senegal,686,4167,25393,0.003993178923952557,0.004040770207613824,0.6130790190735694,29560
Uzbekistan,860,4500,24380,0.0031958192278690274,0.003622083848366947,0.5859375,28880
Cameroon,120,4549,20418,0.004024842307890771,0.004080626836467057,0.6164383561643836,24967
Ethiopia,231,4386,19943,0.0039352055407786525,0.004113296670805379,0.6147540983606558,24329
Mozambique,508,3296,19557,0.003739196278515371,0.0036029316990414018,0.6064690026954178,22853
Andorra,20,4790,18050,0.005141215276547634,0.005293232275745527,0.7281553398058253,22840
Swaziland,748,7688,14623,0.00504545047467286,0.00472624966928936,0.7009345794392523,22311
Cuba,192,1724,20265,0.0037799108636450704,0.004036089752430492,0.6016042780748663,21989
Lao People's Dem. Rep.,418,5546,16265,0.00422584099589498,0.004709741337771535,0.6521739130434783,21811
Nepal,524,8395,12954,0.0034104844411501343,0.003883493590614644,0.5936675461741425,21349
Trinidad and Tobago,780,2271,18455,0.003755679375834608,0.0038264604136993854,0.6064690026954178,20726
Democratic Republic of the Congo,180,1882,18828,0.0034437739685188053,0.0032176820196354815,0.5952380952380952,20710
Uganda,800,3341,16970,0.0037765481628454656,0.003972380673343726,0.6081081081081081,20311
Bermuda,60,1591,17768,0.0034088367762412667,0.005185356943187829,0.7377049180327869,19359
Guinea,324,1516,17034,0.0035303666047022853,0.003518108350215756,0.598404255319149,18550
Jamaica,388,2723,15734,0.003615409881002269,0.003935180620838721,0.6016042780748663,18457
